Operation,Machine,DataType,Buffer Size,TimeAvg,TimeStd,Bytes,#Ops,Ops/T-Std,Ops/T-Mean,Ops/T+Dev
Sum,Raspberry Pi,int,0.50,9547.00,827.69,4,9132359,1047.37,956.57,880.25
Sum,Raspberry Pi,int,1.00,14475.67,30.27,4,25830213,1788.13,1784.39,1780.66
Sum,Raspberry Pi,int,1.50,22290.33,34.56,4,47453132,2132.17,2128.87,2125.57
Sum,Raspberry Pi,int,2.00,29540.33,72.95,4,73058877,2479.31,2473.19,2467.10
Sum,Raspberry Pi,int,2.50,38873.33,40.38,4,102102885,2629.28,2626.55,2623.83
Sum,Raspberry Pi,int,3.00,47820.00,67.02,4,134217728,2810.67,2806.73,2802.80
Sum,Raspberry Pi,int,3.50,57184.00,163.12,4,169133667,2966.17,2957.71,2949.30
Sum,Raspberry Pi,int,4.00,67547.33,102.73,4,206641710,3063.87,3059.21,3054.57
Sum,Raspberry Pi,int,4.50,76132.33,287.96,4,246573711,3251.05,3238.75,3226.55
Sum,Raspberry Pi,int,5.00,86778.00,65.96,4,288790569,3330.46,3327.92,3325.40
Sum,Raspberry Pi,int,5.50,97864.67,132.54,4,333174715,3409.06,3404.44,3399.84
Sum,Raspberry Pi,int,6.00,105704.00,234.92,4,379625062,3599.40,3591.40,3583.43
Sum,Raspberry Pi,int,6.50,115190.67,78.78,4,428053483,3718.59,3716.04,3713.50
Sum,Raspberry Pi,int,7.00,124445.00,139.19,4,478382254,3848.43,3844.13,3839.83
Sum,Raspberry Pi,int,7.50,133260.00,110.69,4,530542153,3984.57,3981.26,3977.95
Sum,Raspberry Pi,int,8.00,155638.33,483.75,4,584471018,3767.02,3755.32,3743.68
Sum,Raspberry Pi,int,8.50,151014.33,98.57,4,640112619,4241.52,4238.75,4235.99
Sum,Raspberry Pi,int,9.00,160357.33,199.99,4,697415772,4354.57,4349.14,4343.72
Sum,Raspberry Pi,int,9.50,169565.33,125.43,4,756333625,4463.73,4460.43,4457.13
Sum,Raspberry Pi,int,10.00,179520.67,95.86,4,816823080,4552.45,4550.02,4547.59
Sum,Raspberry Pi,long,0.50,6217.33,27.30,4,9132359,1475.33,1468.85,1462.43
Sum,Raspberry Pi,long,1.00,14340.33,33.32,4,25830213,1805.42,1801.23,1797.05
Sum,Raspberry Pi,long,1.50,22204.67,135.69,4,47453132,2150.22,2137.08,2124.10
Sum,Raspberry Pi,long,2.00,29471.67,181.41,4,73058877,2494.31,2478.95,2463.79
Sum,Raspberry Pi,long,2.50,38726.67,118.84,4,102102885,2644.62,2636.50,2628.44
Sum,Raspberry Pi,long,3.00,47744.67,172.62,4,134217728,2821.36,2811.16,2801.03
Sum,Raspberry Pi,long,3.50,57007.33,300.68,4,169133667,2982.61,2966.88,2951.31
Sum,Raspberry Pi,long,4.00,67387.33,271.90,4,206641710,3078.90,3066.48,3054.15
Sum,Raspberry Pi,long,4.50,75883.67,467.52,4,246573711,3269.51,3249.36,3229.47
Sum,Raspberry Pi,long,5.00,86496.67,298.58,4,288790569,3350.31,3338.75,3327.26
Sum,Raspberry Pi,long,5.50,97536.67,437.64,4,333174715,3431.29,3415.89,3400.63
Sum,Raspberry Pi,long,6.00,105469.67,457.98,4,379625062,3615.07,3599.38,3583.81
Sum,Raspberry Pi,long,6.50,114827.33,390.39,4,428053483,3740.52,3727.80,3715.17
Sum,Raspberry Pi,long,7.00,124152.67,370.82,4,478382254,3864.72,3853.18,3841.70
Sum,Raspberry Pi,long,7.50,132795.67,501.10,4,530542153,4010.31,3995.18,3980.16
Sum,Raspberry Pi,long,8.00,154959.67,249.39,4,584471018,3777.84,3771.76,3765.70
Sum,Raspberry Pi,long,8.50,150477.33,487.97,4,640112619,4267.72,4253.88,4240.13
Sum,Raspberry Pi,long,9.00,159896.00,536.56,4,697415772,4376.37,4361.68,4347.10
Sum,Raspberry Pi,long,9.50,168887.67,518.66,4,756333625,4492.12,4478.32,4464.61
Sum,Raspberry Pi,long,10.00,179005.00,390.29,4,816823080,4573.10,4563.13,4553.20
