Date	Machine	Compiler Flags	Buffer Size	Operation	Columns	DataType	Time	Time/BufSize
13-12-2017 09:12:53	ASUS Laptop		6.5	Multiply	0	int	4368061	67200938.46
13-12-2017 09:12:53	ASUS Laptop		7	Sum	1400	int	29793	425614.2857
13-12-2017 09:12:55	ASUS Laptop		7	Multiply	0	int	4905949	70084985.71
13-12-2017 09:12:56	ASUS Laptop		7.5	Sum	1500	int	34656	462080
13-12-2017 09:12:58	ASUS Laptop		7.5	Multiply	0	int	5525904	73678720
13-12-2017 09:12:58	ASUS Laptop		8	Sum	1600	int	34437	430462.5
13-12-2017 09:13:01	ASUS Laptop		8	Multiply	0	int	6407584	80094800
13-12-2017 09:13:01	ASUS Laptop		8.5	Sum	1700	int	40208	473035.2941
13-12-2017 09:13:04	ASUS Laptop		8.5	Multiply	0	int	7206623	84783800
13-12-2017 09:13:04	ASUS Laptop		9	Sum	1800	int	39361	437344.4444
13-12-2017 09:13:07	ASUS Laptop		9	Multiply	0	int	7708711	85652344.44
13-12-2017 09:13:07	ASUS Laptop		9.5	Sum	1900	int	45654	480568.4211
13-12-2017 09:13:11	ASUS Laptop		9.5	Multiply	0	int	8441722	88860231.58
13-12-2017 09:13:11	ASUS Laptop		10	Sum	2000	int	45556	455560
13-12-2017 09:13:15	ASUS Laptop		10	Multiply	0	int	11735963	117359630
13-12-2017 09:18:50	ASUS Laptop		0.5	Sum	100	int	1663	332600
13-12-2017 09:18:50	ASUS Laptop		0.5	Multiply	0	int	74071	14814200
13-12-2017 09:18:50	ASUS Laptop		1	Sum	200	int	4129	412900
13-12-2017 09:18:50	ASUS Laptop		1	Multiply	0	int	221279	22127900
13-12-2017 09:18:50	ASUS Laptop		1.5	Sum	300	int	5993	399533.3333
13-12-2017 09:18:50	ASUS Laptop		1.5	Multiply	0	int	412922	27528133.33
13-12-2017 09:18:50	ASUS Laptop		2	Sum	400	int	7895	394750
13-12-2017 09:18:50	ASUS Laptop		2	Multiply	0	int	705262	35263100
13-12-2017 09:18:50	ASUS Laptop		2.5	Sum	500	int	10261	410440
13-12-2017 09:18:51	ASUS Laptop		2.5	Multiply	0	int	958854	38354160
13-12-2017 09:18:51	ASUS Laptop		3	Sum	600	int	12333	411100
13-12-2017 09:18:51	ASUS Laptop		3	Multiply	0	int	1261326	42044200
13-12-2017 09:18:52	ASUS Laptop		3.5	Sum	700	int	15531	443742.8571
13-12-2017 09:18:52	ASUS Laptop		3.5	Multiply	0	int	1937986	55371028.57
13-12-2017 09:18:52	ASUS Laptop		4	Sum	800	int	15838	395950
13-12-2017 09:18:53	ASUS Laptop		4	Multiply	0	int	1979609	49490225
13-12-2017 09:18:53	ASUS Laptop		4.5	Sum	900	int	19439	431977.7778
13-12-2017 09:18:54	ASUS Laptop		4.5	Multiply	0	int	2465803	54795622.22
13-12-2017 09:18:54	ASUS Laptop		5	Sum	1000	int	21153	423060
13-12-2017 09:18:56	ASUS Laptop		5	Multiply	0	int	3231936	64638720
13-12-2017 09:18:56	ASUS Laptop		5.5	Sum	1100	int	24246	440836.3636
13-12-2017 09:18:57	ASUS Laptop		5.5	Multiply	0	int	3388239	61604345.45
13-12-2017 09:18:57	ASUS Laptop		6	Sum	1200	int	24386	406433.3333
13-12-2017 09:18:59	ASUS Laptop		6	Multiply	0	int	3817712	63628533.33
13-12-2017 09:18:59	ASUS Laptop		6.5	Sum	1300	int	30468	468738.4615
13-12-2017 09:19:01	ASUS Laptop		6.5	Multiply	0	int	4442385	68344384.62
13-12-2017 09:19:01	ASUS Laptop		7	Sum	1400	int	30046	429228.5714
13-12-2017 09:19:03	ASUS Laptop		7	Multiply	0	int	4977122	71101742.86
13-12-2017 09:19:03	ASUS Laptop		7.5	Sum	1500	int	34635	461800
13-12-2017 09:19:05	ASUS Laptop		7.5	Multiply	0	int	5398022	71973626.67
13-12-2017 09:19:06	ASUS Laptop		8	Sum	1600	int	34578	432225
13-12-2017 09:19:08	ASUS Laptop		8	Multiply	0	int	6317920	78974000
13-12-2017 09:19:08	ASUS Laptop		8.5	Sum	1700	int	40269	473752.9412
13-12-2017 09:19:11	ASUS Laptop		8.5	Multiply	0	int	7128347	83862905.88
13-12-2017 09:19:11	ASUS Laptop		9	Sum	1800	int	38940	432666.6667
13-12-2017 09:19:14	ASUS Laptop		9	Multiply	0	int	7617627	84640300
13-12-2017 09:19:15	ASUS Laptop		9.5	Sum	1900	int	45640	480421.0526
13-12-2017 09:19:18	ASUS Laptop		9.5	Multiply	0	int	8394483	88362978.95
13-12-2017 09:19:18	ASUS Laptop		10	Sum	2000	int	45451	454510
13-12-2017 09:19:23	ASUS Laptop		10	Multiply	0	int	11742740	117427400
13-12-2017 09:24:54	ASUS Laptop		0.5	Sum	100	int	1648	329600
13-12-2017 09:24:54	ASUS Laptop		0.5	Multiply	0	int	71509	14301800
13-12-2017 09:24:54	ASUS Laptop		1	Sum	200	int	4059	405900
13-12-2017 09:24:54	ASUS Laptop		1	Multiply	0	int	220678	22067800
13-12-2017 09:24:54	ASUS Laptop		1.5	Sum	300	int	6244	416266.6667
13-12-2017 09:24:54	ASUS Laptop		1.5	Multiply	0	int	409114	27274266.67
13-12-2017 09:24:54	ASUS Laptop		2	Sum	400	int	7910	395500
13-12-2017 09:24:55	ASUS Laptop		2	Multiply	0	int	692273	34613650
13-12-2017 09:24:55	ASUS Laptop		2.5	Sum	500	int	10360	414400
13-12-2017 09:24:55	ASUS Laptop		2.5	Multiply	0	int	954934	38197360
13-12-2017 09:24:55	ASUS Laptop		3	Sum	600	int	13083	436100
13-12-2017 09:24:56	ASUS Laptop		3	Multiply	0	int	1237435	41247833.33
13-12-2017 09:24:56	ASUS Laptop		3.5	Sum	700	int	14931	426600
13-12-2017 09:24:57	ASUS Laptop		3.5	Multiply	0	int	1933725	55249285.71
13-12-2017 09:24:57	ASUS Laptop		4	Sum	800	int	15862	396550
13-12-2017 09:24:58	ASUS Laptop		4	Multiply	0	int	1984156	49603900
13-12-2017 09:24:58	ASUS Laptop		4.5	Sum	900	int	19333	429622.2222
13-12-2017 09:24:59	ASUS Laptop		4.5	Multiply	0	int	2445702	54348933.33
13-12-2017 09:24:59	ASUS Laptop		5	Sum	1000	int	21156	423120
13-12-2017 09:25:00	ASUS Laptop		5	Multiply	0	int	3231946	64638920
13-12-2017 09:25:00	ASUS Laptop		5.5	Sum	1100	int	24038	437054.5455
13-12-2017 09:25:02	ASUS Laptop		5.5	Multiply	0	int	3406042	61928036.36
13-12-2017 09:25:02	ASUS Laptop		6	Sum	1200	int	24504	408400
13-12-2017 09:25:03	ASUS Laptop		6	Multiply	0	int	3779123	62985383.33
13-12-2017 09:25:03	ASUS Laptop		6.5	Sum	1300	int	30080	462769.2308
13-12-2017 09:25:05	ASUS Laptop		6.5	Multiply	0	int	4318258	66434738.46
13-12-2017 09:25:05	ASUS Laptop		7	Sum	1400	int	30225	431785.7143
13-12-2017 09:25:07	ASUS Laptop		7	Multiply	0	int	4959695	70852785.71
13-12-2017 09:25:08	ASUS Laptop		7.5	Sum	1500	int	34394	458586.6667
13-12-2017 09:25:10	ASUS Laptop		7.5	Multiply	0	int	5359979	71466386.67
13-12-2017 09:25:10	ASUS Laptop		8	Sum	1600	int	34851	435637.5
13-12-2017 09:25:12	ASUS Laptop		8	Multiply	0	int	6276087	78451087.5
13-12-2017 09:25:13	ASUS Laptop		8.5	Sum	1700	int	40182	472729.4118
13-12-2017 09:25:16	ASUS Laptop		8.5	Multiply	0	int	7319935	86116882.35
13-12-2017 09:25:16	ASUS Laptop		9	Sum	1800	int	39011	433455.5556
13-12-2017 09:25:19	ASUS Laptop		9	Multiply	0	int	7758559	86206211.11
13-12-2017 09:25:19	ASUS Laptop		9.5	Sum	1900	int	45089	474621.0526
13-12-2017 09:25:22	ASUS Laptop		9.5	Multiply	0	int	8211956	86441642.11
13-12-2017 09:25:23	ASUS Laptop		10	Sum	2000	int	44941	449410
13-12-2017 09:25:27	ASUS Laptop		10	Multiply	0	int	11588825	115888250
13-12-2017 09:30:55	ASUS Laptop		0.5	Sum	100	int	1667	333400
13-12-2017 09:30:55	ASUS Laptop		0.5	Multiply	0	int	86397	17279400
13-12-2017 09:30:55	ASUS Laptop		1	Sum	200	int	4080	408000
13-12-2017 09:30:56	ASUS Laptop		1	Multiply	0	int	221357	22135700
13-12-2017 09:30:56	ASUS Laptop		1.5	Sum	300	int	5840	389333.3333
